Date,Actual High,Actual Low,1 Day Predicted High,1 Day Predicted Low,3 Day Predicted High,3 Day Predicted Low,5 Day Predicted High,5 Day Predicted Low,Precip. (in.)
Sept. 1,80,54,78,52,79,52,80,56,0.00
Sept. 2,77,54,75,53,86,63,80,57,0.00
Sept. 3,81,55,81,55,79,59,79,59,0.00
Sept. 4,85,60,85,62,83,59,80,56,0.00
Sept. 5,73,64,76,53,80,63,79,64,0.00
Sept. 6,73,51,75,58,76,61,82,57,0.00
Sept. 7,80,59,79,66,80,63,76,61,0.00
Sept. 8,72,61,74,66,79,67,73,63,0.47
Sept. 9,83,68,75,66,76,66,77,59,1.59
Sept. 10,81,62,80,53,79,58,83,61,0.07
Sept. 11,75,53,75,51,78,58,77,58,0.01
Sept. 12,78,52,79,55,75,54,79,56,0.00
Sept. 13,80,56,80,53,74,48,74,50,0.01
Sept. 14,71,56,70,53,73,55,75,52,0.00
Sept. 15,73,54,72,60,73,59,76,54,0.00
Sept. 16,78,64,79,63,76,60,78,62,0.06
Sept. 17,75,62,75,60,76,56,76,58,0.01
Sept. 18,63,55,67,43,73,52,75,60,2.85
Sept. 19,63,48,64,43,75,53,77,55,0.00
Sept. 20,70,40,69,46,68,53,71,50,0.00
Sept. 21,77,47,77,50,77,51,74,54,0.00
Sept. 22,82,49,81,55,83,54,73,56,0.00
Sept. 23,81,53,81,51,78,57,75,53,0.01
Sept. 24,76,51,80,53,75,54,79,56,0.00
Sept. 25,77,54,78,54,77,51,74,53,0.00
Sept. 26,76,58,76,50,72,46,71,44,0.00
Sept. 27,74,48,76,60,74,56,70,45,0.01
Sept. 28,66,61,70,49,74,49,73,52,1.99
Sept. 29,66,57,69,41,68,41,72,48,0.67
Sept. 30,62,53,68,45,72,50,69,47,0.21
Oct. 1,71,51,75,49,72,49,70,47,0.02
Oct. 2,68,46,71,47,73,52,68,46,0.01
Oct. 3,66,44,68,42,66,43,67,46,0.05
Oct. 4,71,39,69,44,68,44,61,40,0.00
Oct. 5,58,43,56,29,62,38,64,42,0.00
